Date,Time,Incident Type,Location,Coordinates
2025-03-02,06:10:27,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:10:30,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:10:31,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:13:45,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:13:46,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:13:50,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:14:02,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:14:06,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:14:07,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:14:08,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:33,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:33,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:34,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:35,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:38,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:39,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:40,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:41,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:42,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:44,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:45,1 Female with 3 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:46,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:46,SOS Gesture Detected,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:47,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:50,1 Female with 2 Males,Nawanshahr,"[31.1245, 76.1161]"
2025-03-02,06:19:51,1 Female with 3 Males,Nawanshahr,"[31.1245, 76.1161]"
